"Sludinājumi


datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"Pārdošanā labs auto. 
Mašīna iet loti labi, motors darbojas perfekti. Nesen","147",2005,"1.6",174000,700,"Alfa Romeo"
"Praktiski pilnākā komplektācija. 
Jaudīgs ekonomisks auto 5l/100km. 
Auto","159",2008,"1.9D",266000,2390,"Alfa Romeo"
"Alfa Romeo 159 Sportwagon 2.4 Jtdm dīzelis 154 Kw 209 Hp jeb zs pirma reģ. V","159",2008,"2.4D",,4500,"Alfa Romeo"
"Pārdodu gan tehniski, gan vizuāli labu auto. Pilnpiedziņa. Tiko nomainīts zo","Crosswagon",2005,"1.9D",165000,2550,"Alfa Romeo"
"Pārdod nevainojamu Alfa Romeo 159.

Auto tika sakopta visa ritošā daļa, br","159",2006,"1.9D",315000,2600,"Alfa Romeo"
"1.9Tdi Ādas sēdekļi, klimatkontrole, parkošanās sensori, multistūŗe, borta k","159",2006,"1.9D",280000,1890,"Alfa Romeo"
"Продам Альфа Ромео 166 . 2.4 дизель с новым Техосмотром .Налог уплачен","166",2002,"2.4D",386000,1100,"Alfa Romeo"
"Pārdodu koptu Alfa Romeo Giulietta 2.0 Jtdm 150hp 2016. gads, R18 diski ar z","Giulietta",2016,"2.0D",148000,10500,"Alfa Romeo"
"Līzings/maiņa. Jauna T. A. - 10.2023. 159 Sportwagon. Auto labā tehniskā kār","159",2008,"1.9D",256000,2250,"Alfa Romeo"
"Tikko no Vācijas cena ar reģistrāciju un jaunu tehnisko apskati ir visas ser","147",2002,"1.9D",,1950,"Alfa Romeo"
"Alfa Romeo 159 1.9Jtdm 16v, 150Zs motors. 

-Tumšā auduma salons ļoti labā","159",2006,"1.9D",279000,2350,"Alfa Romeo"
"110kw, Savā gaitā atdzīta no vācijas, pilna servisa vēsture, bixenons tālo g","Giulia",2017,"2.2D",218000,19900,"Alfa Romeo"
"Alfa Romeo 159 1.9Jtdm 16v, 150Zs motors, ""Elegante"" aprīkojuma līmenis, atj","159",2009,"1.9D",274000,3700,"Alfa Romeo"
"Alfa Romeo 159 Sportwagon 4X4, jauda-154kw, stilīgs, sportisks, ekonomisks,","159",2009,"2.4D",2e+05,5200,"Alfa Romeo"
"Машина в неплохом состояние. На данный момент не заводится. Некогда заниматс","147",2004,"1.9D",265000,400,"Alfa Romeo"
"Pardodu labu Alfa Romeo 159 sw, 1.9jtd 88kw, manuāla kārba
Auto ir ļoti lab","159",2008,"1.9D",210000,2550,"Alfa Romeo"
"Alfa Romeo 156 2.0 2002.gada no Somijas. Ir visi dokumenti (teh pase, pirkum","156",2002,"2.0",,520,"Alfa Romeo"
"Alfa Romeo 159 2.0l dīzelis. 88Kw
Tehniskā apskate derīga līdz 06.2023
Vid","159",2010,"2.0D",261000,4290,"Alfa Romeo"
"Alfa Romeo GT Q2
Svaigā tehniskā apskate, nodoklis nomaksāts
Vasaras riepa","GT",2008,"1.9D",246000,4650,"Alfa Romeo"
"Alfa Romeo 159. TI versija. Savali tuning. 147 kw/200 z. s. Tikko no Nīderla","159",2007,"2.4D",331000,3450,"Alfa Romeo"
"Tiek pārdota forša Giulia

2.0L Benzīns ar 8 pāk ZF automātu, Rwd, 147Kw/2","Giulia",2020,"2.0",25000,28500,"Alfa Romeo"
"Alfa-Romeo GT 1.9Jtd 16v 110kw

Ļoti labā stavoklī
Diski R18, 3 atslegas,","GT",2008,"1.9D",279000,3850,"Alfa Romeo"
"Atdošu labās rokās savu Alfa Romeo 159 Q4 3.2 939A (260Zs). Kaut kā nolēmu k","159",2006,"3.2",120000,5000,"Alfa Romeo"
"Pārdodu Alfa Romeo GT. Ar svaigu TA 15.11.2023. Ar jauniem pārmetinātiem sli","GT",2005,"1.9D",246000,2900,"Alfa Romeo"
"110kw. , т. ч. из Германии.","GT",2008,"1.9D",213000,3950,"Alfa Romeo"
"Продаю Alfa Romeo в отличном техническом состоянии","159",2005,"1.9D",,2250,"Alfa Romeo"
"Alfa Romeo 159 Sportwagon 2.0 Jtdm 16V 125 kw. 

Automašīna Latvijā nav ek","159",2009,"2.0D",228000,3690,"Alfa Romeo"
"Ferrary atbilstošs Latvijas ceļiem - ekonomisks, spilgts un dinamisks auto.","Giulietta",2012,"2.0D",,6345,"Alfa Romeo"
"Alfa Romeo Mito, 2011.gada, 1.3/70kw dīzelis, dinamisks auto, labs aprīkojum","Citi",2011,"1.3D",215000,3700,"Alfa Romeo"
